Data As Of,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia and COVID-19 Deaths
09/27/2023,Florida,All Sexes,55-64 years,11135.0,112962.0,7275.0
09/27/2023,Florida,All Sexes,65-74 years,17831.0,180462.0,11546.0
09/27/2023,Florida,All Sexes,75-84 years,22324.0,236463.0,13802.0
09/27/2023,Florida,All Sexes,85 years and over,22030.0,273259.0,12045.0
09/27/2023,Georgia,All Sexes,All Ages,36499.0,384074.0,18689.0
09/27/2023,Georgia,All Sexes,Under 1 year,26.0,2860.0,0.0
09/27/2023,Georgia,All Sexes,0-17 years,70.0,5126.0,17.0
09/27/2023,Georgia,All Sexes,1-4 years,0.0,555.0,0.0
09/27/2023,Georgia,All Sexes,5-14 years,22.0,851.0,0.0
09/27/2023,Georgia,All Sexes,15-24 years,141.0,5165.0,57.0
09/27/2023,Georgia,All Sexes,18-29 years,300.0,8518.0,118.0
09/27/2023,Georgia,All Sexes,25-34 years,515.0,9694.0,223.0
09/27/2023,Georgia,All Sexes,30-39 years,817.0,12024.0,380.0
09/27/2023,Georgia,All Sexes,35-44 years,1231.0,14803.0,595.0
09/27/2023,Georgia,All Sexes,40-49 years,1818.0,18905.0,929.0
09/27/2023,Georgia,All Sexes,45-54 years,2835.0,26496.0,1492.0
09/27/2023,Georgia,All Sexes,50-64 years,7773.0,72969.0,4142.0
09/27/2023,Georgia,All Sexes,55-64 years,5999.0,57118.0,3205.0
09/27/2023,Georgia,All Sexes,65-74 years,9067.0,84613.0,4933.0
09/27/2023,Georgia,All Sexes,75-84 years,9580.0,94788.0,5027.0
09/27/2023,Georgia,All Sexes,85 years and over,7074.0,87131.0,3143.0
09/27/2023,Hawaii,All Sexes,All Ages,1943.0,47252.0,977.0
09/27/2023,Hawaii,All Sexes,Under 1 year,0.0,279.0,0.0
09/27/2023,Hawaii,All Sexes,0-17 years,0.0,448.0,0.0
09/27/2023,Hawaii,All Sexes,1-4 years,0.0,50.0,0.0
09/27/2023,Hawaii,All Sexes,5-14 years,0.0,69.0,0.0
09/27/2023,Hawaii,All Sexes,15-24 years,10.0,336.0,0.0
09/27/2023,Hawaii,All Sexes,18-29 years,20.0,577.0,0.0
09/27/2023,Hawaii,All Sexes,25-34 years,28.0,744.0,12.0
09/27/2023,Hawaii,All Sexes,30-39 years,49.0,1028.0,25.0
09/27/2023,Hawaii,All Sexes,35-44 years,81.0,1355.0,39.0
09/27/2023,Hawaii,All Sexes,40-49 years,110.0,1775.0,53.0
09/27/2023,Hawaii,All Sexes,45-54 years,149.0,2550.0,79.0
09/27/2023,Hawaii,All Sexes,50-64 years,396.0,7079.0,206.0
09/27/2023,Hawaii,All Sexes,55-64 years,308.0,5524.0,159.0
09/27/2023,Hawaii,All Sexes,65-74 years,419.0,9174.0,229.0
09/27/2023,Hawaii,All Sexes,75-84 years,385.0,10562.0,205.0
09/27/2023,Hawaii,All Sexes,85 years and over,557.0,16609.0,249.0
09/27/2023,Idaho,All Sexes,All Ages,5610.0,63400.0,2828.0
09/27/2023,Idaho,All Sexes,Under 1 year,0.0,337.0,0.0
09/27/2023,Idaho,All Sexes,0-17 years,0.0,698.0,0.0
09/27/2023,Idaho,All Sexes,1-4 years,0.0,79.0,0.0
09/27/2023,Idaho,All Sexes,5-14 years,0.0,122.0,0.0
09/27/2023,Idaho,All Sexes,15-24 years,12.0,750.0,0.0
09/27/2023,Idaho,All Sexes,18-29 years,24.0,1145.0,10.0
09/27/2023,Idaho,All Sexes,25-34 years,33.0,1247.0,14.0
09/27/2023,Idaho,All Sexes,30-39 years,67.0,1550.0,35.0
09/27/2023,Idaho,All Sexes,35-44 years,124.0,1892.0,59.0
09/27/2023,Idaho,All Sexes,40-49 years,194.0,2295.0,96.0
09/27/2023,Idaho,All Sexes,45-54 years,320.0,3092.0,186.0
09/27/2023,Idaho,All Sexes,50-64 years,904.0,9153.0,491.0
09/27/2023,Idaho,All Sexes,55-64 years,701.0,7322.0,368.0
09/27/2023,Idaho,All Sexes,65-74 years,1290.0,13012.0,737.0
09/27/2023,Idaho,All Sexes,75-84 years,1582.0,17096.0,828.0
09/27/2023,Idaho,All Sexes,85 years and over,1543.0,18451.0,629.0
